,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
1,Andrew Wiggins,21,MIN,SF,82,82,3048,.452,12.6,.816,.291,.131,.139,.253,.184,.473,.650,.374,.365,.383,.356,.414,.757,.052,77,.104,.367,1,0,,wiggian01
2,Karl-Anthony Towns,21,MIN,C,82,82,3030,.542,9.7,.814,.378,.252,.074,.109,.186,.582,.707,.499,.473,.416,.367,.596,.960,.093,130,.200,.436,3,0,,townska01
3,James Harden,27,HOU,PG,81,81,2947,.440,15.9,.507,.242,.134,.076,.053,.493,.530,.682,.364,.419,.427,.347,.095,.317,.014,21,.056,.357,3,0,MVP-2ASNBA1,hardeja01
4,Giannis Antetokounmpo,22,MIL,SF,80,80,2845,.521,8.7,.857,.496,.149,.064,.146,.143,.563,.709,.394,.338,.342,.272,.420,.714,.164,194,.111,.200,4,0,MVP-7MIP-1ASNBA2DEF2,antetgi01
5,John Wall,26,WAS,PG,78,78,2836,.451,11.9,.810,.380,.082,.109,.238,.190,.480,.593,.364,.376,.389,.327,.140,.629,.031,44,.096,.269,3,0,MVP-7ASNBA3,walljo01
6,Jimmy Butler,27,CHI,SF,76,75,2809,.455,12.9,.802,.282,.125,.164,.232,.198,.477,.612,.513,.376,.366,.367,.365,.637,.038,44,.153,.553,3,0,ASNBA3,butleji01
7,Harrison Barnes,24,DAL,PF,79,79,2803,.468,13.1,.827,.183,.186,.194,.265,.173,.492,.679,.483,.452,.398,.351,.434,.949,.045,48,.284,.317,0,0,,barneha02
8,Russell Westbrook,28,OKC,PG,81,81,2802,.425,13.8,.700,.293,.067,.171,.167,.300,.459,.576,.305,.434,.345,.343,.136,.350,.031,49,.075,.409,1,0,MVP-1ASNBA1,westbru01
9,CJ McCollum,25,POR,SG,80,80,2796,.480,15.1,.695,.178,.148,.146,.222,.305,.506,.588,.488,.507,.453,.421,.260,.741,.009,11,.155,.412,6,0,,mccolcj01
10,LeBron James,32,CLE,SF,74,74,2794,.548,11.0,.746,.432,.106,.105,.102,.254,.611,.780,.385,.440,.307,.363,.355,.492,.112,145,.102,.371,0,0,MVP-4DPOY-5ASNBA1,jamesle01
11,Trevor Ariza,31,HOU,SF,80,80,2773,.409,18.6,.305,.207,.054,.013,.031,.695,.556,.655,.395,.400,.280,.344,.615,.958,.041,29,.351,.390,1,0,,arizatr01
12,Rudy Gobert,24,UTA,C,81,81,2744,.661,1.7,.998,.845,.144,.005,.002,.002,.662,.731,.278,.667,.000,.000,.741,,.392,235,.000,,1,0,DPOY-2NBA2DEF1,goberru01
13,Kemba Walker,26,CHO,PG,79,79,2739,.444,15.0,.585,.304,.065,.073,.144,.415,.476,.549,.330,.387,.428,.399,.201,.513,.000,0,.066,.525,3,0,AS,walkeke02
14,Devin Booker,20,PHO,SG,78,78,2730,.423,14.8,.717,.202,.129,.156,.229,.283,.447,.578,.443,.381,.381,.363,.333,.762,.021,28,.133,.389,2,0,,bookede01
15,Anthony Davis,23,NOP,C,75,75,2708,.505,10.6,.912,.283,.233,.168,.228,.088,.524,.706,.454,.467,.414,.299,.644,1.000,.094,135,.082,.273,2,0,MVP-9ASNBA1DEF2,davisan02
16,Damian Lillard,26,POR,PG,75,75,2694,.444,15.1,.611,.269,.126,.080,.137,.389,.492,.600,.335,.437,.451,.370,.235,.495,.003,4,.045,.577,2,0,,lillada01
